Country Name,Country Code,elec_use_capita_2014,elec_access_2014,pop_2014,per_industry,per_residential,per_commercial,Industry_total_electricity(GWh),Residential_total_electricity(GWh),Commercial_total_electricity(GWh)
Ukraine,UKR,3418.58502352461,100,45271947,0.5313044369300133,0.2653960446767087,0.07767189261194794,82227.86248591037,41074.28425043546,12020.968131980726
United Arab Emirates,ARE,11088.3502863794,100,9214175,0.1124078624078624,0.3568796068796069,0.2751842751842752,11484.71130221129,36462.3894348894,28115.57739557737
United Kingdom,GBR,5129.5277927902,100,64613160,0.34640776699029124,0.3395233892321271,0.2746690203000883,114811.65825242718,112529.93451015004,91034.92674315975
United States,USA,12993.9618247727,100,318386421,0.3263675639747424,0.34075108009305416,0.3315686274509804,1350215.5752874736,1409721.6342040573,1371732.9001960815
Uruguay,URY,3085.1944193006,99.657085,3400434,0.24035087719298245,0.4368421052631579,0.24035087719298245,2512.8743787139515,4567.195038684482,2512.8743787139515
"Venezuela, RB",VEN,2718.94277456043,99.5427474975586,30045134,0.4546324655436447,0.24980857580398164,0.29134762633996936,36969.559994888485,20313.80033403346,23691.650657776954
Vietnam,VNM,1423.68834535005,99.2,91714595,0.4057142857142857,0.4976623376623376,0.06701298701298701,52551.52877714285,64461.41430025972,8680.086059220777
"Yemen, Rep.",YEM,219.799922434946,66.1,25823485,0.0,0.7134831460674157,0.10112359550561796,0.0,2676.871752808984,379.3991460674151
Zambia,ZMB,717.349167873017,27.9,15399753,0.6891891891891891,0.1891891891891892,0.08301158301158301,2124.1589594594584,583.1024594594592,255.85107915057904
Zimbabwe,ZWE,609.125952099707,32.3,13586681,0.5066518847006651,0.22062084257206208,0.14634146341463414,1354.3554722838135,589.7521640798226,391.1923902439023
